TweetID,Group,Valence,Dominance,Care_virtue,Care_virtue,Fairness_virtue,Fairness_vice,Loyalty_Virtue,Loyalty_Vice,Authority_virtue,Authority_vice,Purity_virtue,Purity_vice
/737816150730526720,lib,0.6666666667,0.75,1,0,1,0,1,0,0,1,0,0
/737821752185618433,lib,0.5833333333,0.5,1,0,1,0,1,0,0,0,0,0
/738041172082315265,con,-0.25,-0.5833333333,0,1,0,1,0,0,0,0,0,0
/738056551450087424,con,-0.5416666667,0.125,0,0,0,0,0,1,0,1,0,0
/738059626432724992,lib,-0.25,0.25,1,0,1,0,1,0,0,0,0,1
/738074670600093697,lib,0.5,0.7916666667,1,0,1,0,1,0,0,0,0,0
/738077364677025792,lib,-0.5,-0.75,0,1,1,0,0,0,0,0,0,0
/738096794882723844,con,-0.2083333333,0.125,0,1,0,1,0,0,0,0,0,0
/738098883742568448,con,0.1666666667,-0.2916666667,1,0,0,1,0,0,1,0,0,0
/738100531521015808,con,-0.625,-0.1666666667,0,0,0,1,0,0,0,0,0,0
/738102386883891204,lib,0.625,0.8333333333,1,0,1,0,1,0,0,0,0,0
/738111413567279105,lib,0.5416666667,0.8333333333,1,1,1,0,1,0,0,0,0,0
/738143810253783042,lib,0.4583333333,0.125,1,0,1,0,0,0,0,0,0,0
/738162812879413250,lib,0.8333333333,0.4583333333,1,0,1,0,1,0,0,0,0,0
/738201616009076736,con,0.08333333333,0.04166666667,0,0,0,0,0,0,0,0,0,0
/738202109951246337,con,-0.08333333333,-0.3333333333,0,0,0,0,0,0,0,0,0,0
/738344958738894848,lib,-0.5833333333,-0.2083333333,1,1,0,0,0,0,0,0,0,0
/738355071109332992,lib,-0.375,0,1,1,0,1,1,0,0,0,0,0
/738355292308709376,lib,0.2083333333,0.5,1,1,1,0,1,0,0,0,0,0
/738360473289003008,lib,0.04166666667,0.7083333333,1,1,1,0,1,0,0,0,0,1
/738362093624303616,lib,0.6666666667,0.7916666667,1,0,1,0,1,0,0,0,0,0
/738364508360474625,lib,0.08333333333,0.625,1,1,0,0,1,0,0,0,0,0
